player,color,moves,total_sac,file_name
Alekhine,Black,40,10,Spielmann-Rudolf_vs_Alekhine-Alexander-A_1930.__.__.pgn
Alekhine,Black,46,1,Vidmar-Milan-Sr_vs_Alekhine-Alexander-A_1936.__.__ (1).pgn
Alekhine,White,47,1,Alekhine-Alexander-A_vs_Koenig-Imre_1922.__.__.pgn
Alekhine,White,82,3.5,Alekhine-Alexander-A_vs_Flohr-Salomon-M_1938.__.__.pgn
Alekhine,White,63,4.5,Alekhine-Alexander-A_vs_Yates-Frederick_1924.__.__.pgn
Alekhine,Black,90,14.5,Yates-Frederick_vs_Alekhine-Alexander-A_1922.__.__.pgn
Alekhine,White,83,4.5,Alekhine-Alexander-A_vs_Bogoljubow-Efim-D_1914.__.__.pgn
Alekhine,Black,56,1,Flohr-Reilly-B_vs_Alekhine-Alexander-A_1931.__.__.pgn
Alekhine,White,38,0,Alekhine-Alexander-A_vs_Spielmann-Rudolf_1931.__.__.pgn
Alekhine,White,45,0,Alekhine-Alexander-A_vs_Rey-Ardid-Ramon_1944.__.__.pgn
Alekhine,Black,56,5.5,Kausz_vs_Alekhine-Alexander-A_1939.__.__.pgn
Alekhine,White,106,8,Alekhine-Alexander-A_vs_Tartakower-Savielly_1921.__.__.pgn
Alekhine,Black,95,6,Bogoljubow-Efim-D_vs_Alekhine-Alexander-A_1929.__.__ (1).pgn
Alekhine,White,105,3.5,Alekhine-Alexander-A_vs_Heath-C_1923.__.__.pgn
